transaction date,cust,notes,item,unit,current stock,qty
28.02.2026,NEO,-,Bottom Panel Black,pcs,,2820
28.02.2026,NEO ,-,Bottom Panel Black,pcs,,1980
28.02.2026,JUNIOR ,-,COVER MOLDED# .([^\,pcs,,252
28.02.2026,JUNIOR ,-,COVER MOLDED# .([^\,pcs,,144
28.02.2026,JUNIOR ,-,COVER MOLDED# .([^\,pcs,,324
28.02.2026,JUNIOR ,-,TRAY ASSY GC6815,pcs,,360
28.02.2026,JUNIOR ,-,HOUSING PRTED#,pcs,,360
28.02.2026,JUNIOR ,-,STAND TOP MOLDED Blue Pavone,pcs,,300
28.02.2026,JUNIOR ,-,STAND TOP MOLDED Blue Pavone,pcs,,300
28.02.2026,JUNIOR ,-,STAND BOTTOM MOLDED#ALPINE WHITE,pcs,,400
28.02.2026,JUNIOR ,-,TRAY ASSY GC6840,pcs,,96
28.02.2026,JUNIOR ,-,TRAY ASSY GC6840,pcs,,24
28.02.2026,JUNIOR ,-,TRAY ASSY GC6840,pcs,,48
28.02.2026,JUNIOR ,-,TRAY ASSY GC6815,pcs,,216
28.02.2026,JUNIOR ,-,TRAY ASSY GC6815,pcs,,18
28.02.2026,JUNIOR ,-,HOUSING PRTED#,pcs,,306
28.02.2026,JUNIOR ,-,CHASSIS MOLDED# ALPINE WHITE,pcs,,720
28.02.2026,JUNIOR ,-,HOUSING PRTED,pcs,,90
28.02.2026,JUNIOR ,-,COVER MOLDED# .([^\,pcs,,36
28.02.2026,JUNIOR ,-,STAND TOP MOLDED Magic Purple,pcs,,75
28.02.2026,JUNIOR ,-,STAND BOTTOM MOLDED#ALPINE WHITE,pcs,,180
28.02.2026,JUNIOR ,-,INLAY-LIGHT STRIP ASSY MOLDED Blue Pavon,pcs,,420
28.02.2026,JUNIOR ,-,INLAY-LIGHT STRIP ASSY MOLDED Blue Pavon,pcs,,210
28.02.2026,JUNIOR ,-,STAND TOP MOLDED Blue Pavone,pcs,,60
28.02.2026,JUNIOR ,-,FILLING DOOR MOLDED Trans Deep Petrol,pcs,,800
28.02.2026,JUNIOR ,-,TUBE COVER MOLDED# ALPINE WHITE,pcs,,1000
28.02.2026,JUNIOR ,-,IRON BOTTOM CAP MOLDED# ALPINE WHITE,pcs,,288
28.02.2026,JUNIOR ,-,IRON BOTTOM CAP MOLDED# ALPINE WHITE,pcs,,288
28.02.2026,BT-3000,-,Eccenter BT3000 (Version),pcs,,18000
28.02.2026,JUNIOR ,-,DECO PLATE PRTED,pcs,,1200
28.02.2026,JUNIOR ,-,BUTTON FRAME ASSY#,pcs,,1008
28.02.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1440
28.02.2026,NEO,-,TOP PANEL HE TP PHILIPS MLU HC3530,pcs,,1092
