transaction date,cust,notes,item,unit,current stock,qty
01.01.2025,SIGMA,-,Bottom Panel Black,pcs,,275
01.01.2025,SIGMA,-,I/O BUTTON BLACK TP,pcs,,584
01.01.2025,SIGMA,-,One Blade P-Cap,pcs,,430
01.01.2025,SIGMA,-,Panel Holder,pcs,,575
01.01.2025,SIGMA,-,Thining Comb,pcs,,550
02.01.2025,SIGMA,-,Bottom Panel Black,pcs,,275
02.01.2025,SIGMA,-,I/O BUTTON BLACK TP,pcs,,584
02.01.2025,SIGMA,-,One Blade P-Cap,pcs,,429
02.01.2025,SIGMA,-,Panel Holder,pcs,,575
02.01.2025,SIGMA,-,Thining Comb,pcs,,550
03.01.2025,SIGMA,-,Bottom Panel Black,pcs,,275
03.01.2025,SIGMA,-,I/O BUTTON BLACK TP,pcs,,584
03.01.2025,SIGMA,-,One Blade P-Cap,pcs,,429
03.01.2025,SIGMA,-,Panel Holder,pcs,,0
03.01.2025,SIGMA,-,Thining Comb,pcs,,0
04.01.2025,SIGMA,-,Bottom Panel Black,pcs,,275
04.01.2025,SIGMA,-,I/O BUTTON BLACK TP,pcs,,584
04.01.2025,SIGMA,-,One Blade P-Cap,pcs,,429
04.01.2025,SIGMA,-,Panel Holder,pcs,,0
04.01.2025,SIGMA,-,Thining Comb,pcs,,0
05.01.2025,SIGMA,-,Bottom Panel Black,pcs,,275
05.01.2025,SIGMA,-,I/O BUTTON BLACK TP,pcs,,584
05.01.2025,SIGMA,-,One Blade P-Cap,pcs,,429
05.01.2025,SIGMA,-,Panel Holder,pcs,,575
05.01.2025,SIGMA,-,Thining Comb,pcs,,550
06.01.2025,SIGMA,-,Bottom Panel Black,pcs,,275
06.01.2025,SIGMA,-,I/O BUTTON BLACK TP,pcs,,584
06.01.2025,SIGMA,-,One Blade P-Cap,pcs,,429
06.01.2025,SIGMA,-,Panel Holder,pcs,,575
06.01.2025,SIGMA,-,Thining Comb,pcs,,550
